bootstrap,q,K,case,lower_mode,N_req,N_U_req,N_M_req,total_copy_cost,abs_error_at_crossing,epsilon_eff,found,used_fallback,file,state
32,1,4,NM1_vary_NU,exact,5355,5355,1,21420,0.06357498388457694,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
33,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
33,1,3,NM1_vary_NU,exact,1446,1446,1,4338,0.06412371686078489,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
33,1,4,NM1_vary_NU,exact,38148,38148,1,152592,0.013205201873936923,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
34,1,2,NM1_vary_NU,exact,63,63,1,126,0.04886219765684097,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
34,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
34,1,4,NM1_vary_NU,exact,10304,10304,1,41216,0.0965532579155754,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
35,1,2,NM1_vary_NU,exact,71,71,1,142,0.06730570925553259,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
35,1,3,NM1_vary_NU,exact,1269,1269,1,3807,0.08451736415035849,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
35,1,4,NM1_vary_NU,exact,6957,6957,1,27828,0.09504801748193814,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
36,1,2,NM1_vary_NU,exact,32,32,1,64,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
36,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
36,1,4,NM1_vary_NU,exact,3616,3616,1,14464,0.04835413308501174,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
37,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
37,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
37,1,4,NM1_vary_NU,exact,6957,6957,1,27828,0.09504801748193814,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
38,1,2,NM1_vary_NU,exact,93,93,1,186,0.06549107142857191,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
38,1,3,NM1_vary_NU,exact,752,752,1,2256,0.04114871944855991,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
38,1,4,NM1_vary_NU,exact,10304,10304,1,41216,0.0965532579155754,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
